subject_id,raw_median_magnitude,units_decision,converted_median_magnitude,within_gravity_range
00EABED2-271D-49D8-B599-1D4A09240601,0.9967,g,9.7741,True
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.9982,g,9.7889,True
0A986513-7828-4D53-AA1F-E02D6DF9561B,1.0006,g,9.8122,True
0BFC35E2-4817-4865-BFA7-764742302A2D,9.9918,ms2,9.9918,True
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,9.7463,ms2,9.7463,True
1155FF54-63D3-4AB2-9863-8385D0BD0A13,9.8838,ms2,9.8838,True
11B5EC4D-4133-4289-B475-4E737182A406,0.9992,g,9.7987,True
136562B6-95B2-483D-88DC-065F28409FD2,0.9941,g,9.7485,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,0.9955,g,9.7622,True
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,9.6149,ms2,9.6149,True
24E40C4C-A349-4F9F-93AB-01D00FB994AF,0.9998,g,9.8044,True
27E04243-B138-4F40-A164-F40B60165CF3,9.7327,ms2,9.7327,True
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,0.9985,g,9.7916,True
33A85C34-CFE4-4732-9E73-0A7AC861B27A,9.6978,ms2,9.6978,True
3600D531-0C55-44A7-AE95-A7A38519464E,0.9906,g,9.7145,True
40E170A7-607B-4578-AF04-F021C3B0384A,10.0421,ms2,10.0421,True
481F4DD2-7689-43B9-A2AA-C8772227162B,9.7582,ms2,9.7582,True
4E98F91F-4654-42EF-B908-A3389443F2E7,9.8909,ms2,9.8909,True
4FC32141-E888-4BFF-8804-12559A491D8C,1.0024,g,9.8298,True
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,0.9757,g,9.5679,True
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,1.0056,g,9.8614,True
59818CD2-24D7-4D32-B133-24C2FE3801E5,9.7859,ms2,9.7859,True
59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2,9.6456,ms2,9.6456,True
5EF64122-B513-46AE-BCF1-E62AAC285D2C,1.0439,g,10.2376,True
61359772-D8D8-480D-B623-7C636EAD0C81,9.7703,ms2,9.7703,True
61976C24-1C50-4355-9C49-AAE44A7D09F6,1.0021,g,9.8269,True
665514DE-49DC-421F-8DCB-145D0B2609AD,9.9618,ms2,9.9618,True
74B86067-5D4B-43CF-82CF-341B76BEA0F4,9.6607,ms2,9.6607,True
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,1.0035,g,9.8412,True
797D145F-3858-4A7F-A7C2-A4EB721E133C,9.8282,ms2,9.8282,True
7CE37510-56D0-4120-A1CF-0E23351428D2,1.0002,g,9.8087,True
7D9BB102-A612-4E2A-8E22-3159752F55D8,1.0051,g,9.8571,True
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,1.0012,g,9.8183,True
806289BC-AD52-4CC1-806C-0CDB14D65EB6,8.9585,ms2,8.9585,True
81536B0A-8DBF-4D8A-AC24-9543E2E4C8E0,10.0185,ms2,10.0185,True
83CF687B-7CEC-434B-9FE8-00C3D5799BE6,0.9863,g,9.672,True
86A4F379-B305-473D-9D83-FC7D800180EF,10.2653,ms2,10.2653,True
96A358A0-FFF2-4239-B93E-C7425B901B47,9.4809,ms2,9.4809,True
9759096F-1119-4E19-A0AD-6F16989C7E1C,1.0012,g,9.8189,True
99B204C0-DD5C-4BB7-83E8-A37281B8D769,9.1192,ms2,9.1192,True
9DC38D04-E82E-4F29-AB52-B476535226F2,1.0055,g,9.8601,True
A5A30F76-581E-4757-97A2-957553A2C6AA,9.8356,ms2,9.8356,True
A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,1.001,g,9.8162,True
A7599A50-24AE-46A6-8EA6-2576F1011D81,10.3315,ms2,10.3315,True
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,1.0022,g,9.8286,True
B09E373F-8A54-44C8-895B-0039390B859F,0.9988,g,9.7946,True
B7F9D634-263E-4A97-87F9-6FFB4DDCB36C,9.9199,ms2,9.9199,True
B9724848-C7E2-45F4-9B3F-A1F38D864495,0.9952,g,9.7596,True
BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,0.9958,g,9.7659,True
BEF6C611-50DA-4971-A040-87FB979F3FC1,3.1636,ambiguous (left unconverted),3.1636,False
C48CE857-A0DD-4DDB-BEA5-3A25449B2153,1.0052,g,9.8579,True
CA820D43-E5E2-42EF-9798-BE56F776370B,0.999,g,9.7972,True
CCAF77F0-FABB-4F2F-9E24-D56AD0C5A82F,9.7316,ms2,9.7316,True
CDA3BBF7-6631-45E8-85BA-EEB416B32A3C,0.9967,g,9.774,True
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,1.0009,g,9.8153,True
D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,0.9931,g,9.7387,True
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,1.0098,g,9.9026,True
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,0.9974,g,9.7814,True
F50235E0-DD67-4F2A-B00B-1F31ADA998B9,10.2789,ms2,10.2789,True
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,0.9992,g,9.7989,True
